Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Ruby on Rails 7 Essential Training,"In Ruby on Rails 7 Essential Training, instructor Kevin Skoglund shows you how to create full-featured, object-oriented web applications with the latest version of the popular, open-source Ruby on Rails framework. Kevin steps through the complete process--from the fundamental concepts and best practices behind the Rails framework, to how to build a complete application with dynamic, database-driven content. Using a content management system as an example project, he shows you how to structure databases; build database-driven, object-oriented models; route incoming requests; render pages with dynamic content; and process and validate form data. Kevin finishes with a detailed discussion of controllers and related HTML code.",Course,2022-07-30 01:08 UTC,N/A,false,N/A,
Advanced SQL for Data Scientists,"Many data scientists know how to work with SQL—the industry-standard language for data analysis. But as data sizes grow, you need to know how to do more than simply read and write from a database. This course provides a more sophisticated approach to designing data models and optimizing queries in SQL. Instructor Dan Sullivan begins with the logical and physical design of tables—with particular focus on very large databases—and then presents a deep dive review of indexes, including specialized indexes and when to use them. The next section introduces query optimization and shows how to optimize basic, multi-join, and more complex queries. The course also covers SQL extensions, including user-defined functions and specialized data types. The techniques taught here enable more efficient analysis of large data sets using SQL, statistics, and custom business logic.",Course,2021-10-26 02:17 UTC,N/A,false,N/A,
Jeff Weiner on Leading like a CEO,"During Jeff Weiner's tenure as the CEO at LinkedIn, the company grew its membership base from 33 million to more than 690 million members, increased its revenue from $78 million to more than $7.9 billion, and expanded its team from 338 to over 16,000 employees. Throughout this period of remarkable growth, Jeff developed the company's values and created an organization where compassion is as revered as a healthy bottom line. In this course, Jeff shares his advice on what it takes to be a great leader, using a three-part framework of awareness, synthesis, and inspiration.<br><br>Learn about the importance of maintaining awareness of yourself, your team, your industry, and the world at large. Explore the topic of synthesis, which you achieve through developing your vision and values and by focusing on the most important priorities. Plus, learn about the role of inspiration in leadership, both in terms of being true to your own values and motivating others.",Course,2022-10-12 15:07 UTC,N/A,false,N/A,
How to Make Strategic Thinking a Habit (2020),"Working hard is important—but what's really critical is making sure you're working on the right things. That's what strategic thinking enables you to do. In this course, Dorie Clark shares frameworks and strategies to help you make strategic thinking a daily habit, so that you can make the best use of your time, energy, and effort at work. Discover how to set yourself up for success by carving out time for strategic thinking and adjusting your routine to spark more strategic thoughts. Get tactics for thinking strategically about the tasks and decisions that lie ahead of you, as well as how to revisit past decisions to glean valuable insights. Learn how to change the way you approach your to-do list and examine the root cause of problems to devise better solutions. Plus, Dorie explains how to consistently ask yourself the right questions, so that you don't get off track.",Course,2020-11-30 20:43 UTC,N/A,false,N/A,
After Effects 2020 New Features,"After Effects 2020 is here. Want to know how this new version will impact your motion graphics workflow? This course covers the latest upgrade, focused around the new, more powerful Content-Aware Fill. Discover how to remove an object, create a reference frame, and remove a logo on a smooth surface with this intelligent editing tool. Instructor Mark Christiansen provides practical tips to help you get the most from this forward-looking update.",Course,2020-09-25 12:10 UTC,N/A,false,N/A,
Motion Control 3D: Bringing Photos to Life in Three Dimensions with After Effects and Photoshop CC (2019),"Have you looked at a photo and wished you were there, or wondered what the scene looked like to the photographer? Now you can bring your photos to life by adding motion and depth. Author Rich Harrington reveals how you can transport your photos into a three-dimensional world using Adobe Photoshop and After Effects. The course shows you how to select the right images and resolutions; how to use masks and layers to build a layered composition in Photoshop; and how to animate and light the elements of the scene in After Effects. The techniques is useful for documentary filmmaking, web content, and TV commercials. Rich even shows how to render your project in full 3D for compatible platforms like YouTube, or in a typical broadcast format suitable for television or streaming.",Course,2020-12-14 23:01 UTC,N/A,false,N/A,
Learning End-to-End Testing with Jest,"Testing small parts of an application is fairly easy, but as you assemble systems, the test complexity often grows with the number of interconnected systems. Sometimes, rather than testing just the parts, you want to test the whole process, as one large set. In this course, Chinyelu Ibute shows you how the JavaScript testing framework, Jest, lets you create comprehensive tests so you can verify the functionality of your entire application. Chinyelu starts with the basics of the test-driven development, including the different types. She then shows how to write an end-to-end test for a RESTful web-service application built with Node.js and MongoDB using Jest. Finally, she explains how to test the application workflow from beginning to end, with a high code coverage.",Course,2023-05-09 22:09 UTC,N/A,false,N/A,
8 Git Commands You Should Know,"If you’re a software developer, you probably already know that Git is one of the most useful version control systems out there. But while most developers have mastered the basics of Git, it can be a bit harder to take your skills to the next level and become an advanced Git user. In this course, instructor Ronnie Sheer shows you how to make the move from intermediate Git developer to the realm of finely tuned, source control expert.<br><br>Learn eight power-user Git commands that can save you time, prevent bugs, and more. Find out how to increase your productivity as well as minimize your moments of frustration. Ronnie walks you through a few basic tricks like stashing and adding changes, and then turns to more advanced techniques, such as undoing commits, reverting, and setting up precommit hooks. Test out your new skills with Git-command challenges along the way.
<br><br>This course is integrated with GitHub Codespaces, an instant cloud developer environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With GitHub Codespaces, you can get hands-on practice from any machine, at any time—all while using a tool that you’ll likely encounter in the workplace. Check out the “Using GitHub Codespaces with this course” video to learn how to get started.",Course,2023-12-09 23:55 UTC,N/A,false,N/A,
Managing New Managers,"Managing new leaders comes with a unique set of challenges. Even the most outstanding individual contributor can struggle as they unpack their new role and tackle their increased responsibilities. In this course, learn how to support and inspire new leaders as they make this critical transition. Leadership expert Sara Canaday shows how to identify the unique perspectives and challenges of your new managers, set the expectations for their transition, provide coaching and support, and cultivate the right conditions to help them succeed.",Course,2022-02-05 01:44 UTC,N/A,false,N/A,
Learning C++ (2021),"C++ is one of the most powerful and widely used programming languages of all time. It is also one of the oldest programming languages in use today. In this course, learn the basic elements of this object-oriented programming language that moves the world. Instructor Eduardo Corpeño begins with setting up the development environment and introducing the basic elements of object-oriented programming. Eduardo covers data types such as variables, expressions, assignments, constants, and more. He explains structures, classes, pointers, vectors, and so on. After stepping through the control flow process and a variety of useful functions, Eduardo finishes up with detailed information on opening and working with files.",Course,2022-11-01 04:23 UTC,N/A,false,N/A,
